match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Hamburg vs Schalke 04,1X2,Home,2.35,0.5798672216020087,0.425531914893617,0.15433530670839163,True,13.5,2. Bundesliga,2,2023-07-28
Fortuna Dusseldorf vs Hertha,1X2,Home,2.3,0.6243472086915531,0.4347826086956522,0.18956459999590092,True,12.999999999999998,2. Bundesliga,2,2023-07-29
Osnabruck vs Karlsruhe,O/U,Under 2.5,2.28,0.5015739349226689,0.4385964912280702,0.06297744369459868,False,-10.0,2. Bundesliga,2,2023-07-29
Braunschweig vs Holstein Kiel,O/U,Under 2.5,2.41,0.49031582940827945,0.41493775933609955,0.07537807007217989,True,14.100000000000001,2. Bundesliga,2,2023-07-30
Sheffield Weds vs Southampton,O/U,Over 2.5,1.99,0.5689655254346551,0.5025125628140703,0.06645296262058475,True,9.9,Championship,2,2023-08-04
Sheffield Weds vs Southampton,1X2,Home,3.14,0.6448488216145849,0.3184713375796178,0.3263774840349671,False,-10.0,Championship,2,2023-08-04
Sutton vs Notts County,O/U,Under 2.5,2.29,0.5556495226668537,0.4366812227074236,0.11896829995943015,False,-10.0,League Two,4,2023-08-05
Doncaster vs Harrogate,1X2,Away,3.28,0.44831967806113826,0.3048780487804878,0.14344162928065046,True,22.799999999999997,League Two,4,2023-08-05
Swansea vs Birmingham,1X2,Home,1.87,0.6576554094168869,0.53475935828877,0.12289605112811697,False,-10.0,Championship,2,2023-08-05
Laval vs Angers,1X2,Home,2.57,0.5367959649173977,0.38910505836575876,0.1476909065516389,True,15.7,Ligue 2,2,2023-08-05
Dunkerque vs Troyes,1X2,Home,2.67,0.4804102081192602,0.37453183520599254,0.10587837291326768,False,-10.0,Ligue 2,2,2023-08-05
Plymouth vs Huddersfield,1X2,Home,2.18,0.6074091733629603,0.4587155963302752,0.1486935770326851,True,11.8,Championship,2,2023-08-05
Shrewsbury vs Cheltenham,1X2,Away,3.1,0.46113782943994297,0.3225806451612903,0.13855718427865266,False,-10.0,League One,3,2023-08-05
Blackburn vs West Brom,1X2,Home,2.78,0.5174426342841045,0.3597122302158274,0.15773040406827715,True,17.799999999999997,Championship,2,2023-08-05
Sunderland vs Ipswich,1X2,Away,2.88,0.4902079386747614,0.3472222222222222,0.1429857164525392,True,18.799999999999997,Championship,2,2023-08-06
Ipswich vs Stoke,1X2,Home,2.12,0.659321371222103,0.4716981132075471,0.18762325801455587,True,11.200000000000001,Championship,2,2023-08-12
West Brom vs Swansea,1X2,Away,3.5,0.4232026309423489,0.2857142857142857,0.1374883452280632,False,-10.0,Championship,2,2023-08-12
Birmingham vs Leeds,1X2,Home,3.21,0.5059651460504906,0.3115264797507788,0.1944386662997118,True,22.1,Championship,2,2023-08-12
Notts County vs Grimsby,O/U,Under 2.5,2.09,0.5636883240576898,0.47846889952153115,0.0852194245361586,False,-10.0,League Two,4,2023-08-12
Newport County vs Doncaster,1X2,Home,2.16,0.5858463844121029,0.4629629629629629,0.12288342144914,True,11.600000000000001,League Two,4,2023-08-12
Harrogate vs Forest Green,1X2,Home,2.29,0.5644757811909318,0.4366812227074236,0.12779455848350818,False,-10.0,League Two,4,2023-08-12
Barrow vs Sutton,1X2,Home,2.37,0.5120488135248003,0.42194092827004215,0.0901078852547581,True,13.700000000000001,League Two,4,2023-08-12
AFC Wimbledon vs Wrexham,1X2,Home,3.48,0.4316142354349386,0.28735632183908044,0.14425791359585816,False,-10.0,League Two,4,2023-08-12
Wigan vs Northampton,O/U,Under 2.5,2.01,0.6139268657481433,0.49751243781094534,0.11641442793719792,False,-10.0,League One,3,2023-08-12
Stevenage vs Shrewsbury,1X2,Home,2.09,0.6497251324717723,0.47846889952153115,0.17125623295024117,True,10.899999999999999,League One,3,2023-08-12
Lincoln vs Wycombe,1X2,Home,2.48,0.4987709775217849,0.40322580645161293,0.09554517107017196,True,14.8,League One,3,2023-08-12
Quevilly Rouen vs Ajaccio,O/U,Over 2.5,2.45,0.49251108872888155,0.4081632653061224,0.08434782342275915,False,-10.0,Ligue 2,2,2023-08-12
Quevilly Rouen vs Ajaccio,1X2,Home,2.48,0.5707575104455067,0.40322580645161293,0.16753170399389378,False,-10.0,Ligue 2,2,2023-08-12
Guingamp vs Dunkerque,1X2,Home,1.86,0.6031127858029872,0.5376344086021505,0.06547837720083671,False,-10.0,Ligue 2,2,2023-08-12
Troyes vs Laval,1X2,Away,3.53,0.47011700559950265,0.28328611898017,0.18683088661933267,False,-10.0,Ligue 2,2,2023-08-12
Albacete vs Espanol,O/U,Over 2.5,2.16,0.5765339684998216,0.4629629629629629,0.11357100553685873,False,-10.0,Segunda Division,2,2023-08-13
Albacete vs Espanol,1X2,Home,2.98,0.5354767893308692,0.33557046979865773,0.19990631953221144,False,-10.0,Segunda Division,2,2023-08-13
Tenerife vs Oviedo,1X2,Home,2.1,0.573639961262541,0.47619047619047616,0.09744948507206486,True,11.0,Segunda Division,2,2023-08-14
Cambridge vs Stevenage,O/U,Under 2.5,1.78,0.715567910691318,0.5617977528089888,0.15377015788232917,False,-10.0,League One,3,2023-08-15
Zaragoza vs Valladolid,O/U,Over 2.5,2.42,0.5105117129436043,0.4132231404958678,0.09728857244773653,False,-10.0,Segunda Division,2,2023-08-18
