match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Sandhausen vs Bielefeld,1X2,Home,3.15,0.5574069876820058,0.31746031746031744,0.23994667022168836,True,21.5,2. Bundesliga,2,2022-07-16
Paderborn vs Karlsruhe,O/U,Under 2.5,2.38,0.4840916950627069,0.42016806722689076,0.06392362783581612,False,-10.0,2. Bundesliga,2,2022-07-17
Fortuna Dusseldorf vs Paderborn,O/U,Under 2.5,2.23,0.5082593844374044,0.4484304932735426,0.05982889116386175,False,-10.0,2. Bundesliga,2,2022-07-22
Hannover vs St Pauli,O/U,Under 2.5,2.26,0.5194409649599383,0.4424778761061947,0.07696308885374359,False,-10.0,2. Bundesliga,2,2022-07-23
Nurnberg vs Greuther Furth,O/U,Under 2.5,2.17,0.5332345120693259,0.4608294930875576,0.07240501898176832,True,11.7,2. Bundesliga,2,2022-07-23
Nurnberg vs Greuther Furth,1X2,Home,2.35,0.5150139577373005,0.425531914893617,0.0894820428436835,True,13.5,2. Bundesliga,2,2022-07-23
Bielefeld vs Regensburg,O/U,Under 2.5,2.1,0.5282566885457726,0.47619047619047616,0.052066212355296404,False,-10.0,2. Bundesliga,2,2022-07-24
Huddersfield vs Burnley,O/U,Over 2.5,2.2,0.5073136195480776,0.45454545454545453,0.0527681650026231,False,-10.0,Championship,2,2022-07-29
Huddersfield vs Burnley,1X2,Home,2.95,0.5225941330655579,0.3389830508474576,0.1836110822181003,False,-10.0,Championship,2,2022-07-29
Bristol Rvs vs Forest Green,O/U,Over 2.5,1.9,0.5828643010147676,0.5263157894736842,0.056548511541083424,True,9.0,League One,3,2022-07-30
Bristol Rvs vs Forest Green,1X2,Home,2.32,0.5938042435069113,0.4310344827586207,0.16276976074829058,False,-10.0,League One,3,2022-07-30
Guingamp vs Pau FC,O/U,Over 2.5,2.06,0.5709288487072035,0.4854368932038835,0.08549195550332,True,10.600000000000001,Ligue 2,2,2022-07-30
Dijon vs St Etienne,1X2,Home,2.93,0.5440461590114599,0.341296928327645,0.2027492306838149,True,19.3,Ligue 2,2,2022-07-30
Rotherham vs Swansea,1X2,Home,2.62,0.5150465476725798,0.38167938931297707,0.13336715835960278,False,-10.0,Championship,2,2022-07-30
Wigan vs Preston,O/U,Over 2.5,2.2,0.5356739369082197,0.45454545454545453,0.08112848236276521,False,-10.0,Championship,2,2022-07-30
